Concesionario,Direccion,Responsable,Celular,Distrito,DiaVisita,Promotor,Cono
TALLERES PERUANOS DE GAS NATURAL,AV. ROSA TORO 469,RICARDO LORETO MARQUINA ALVARADO, ,SAN LUIS,SA,5,17
TAXI METROPOLITANO SAC,BASADRE 17 181,MARIA YOLANDA REYES SOTO, ,SAN JUAN DE LURIGANCHO,LU,7,17
TC WALL EIRL.,PROLONG.HUAMANGA 1672,LELLIA TRINIDAD CHAPARRO,834*119,LA VICTORIA,VI,5,17
TECNICENTRO LUCERO,AV. WISSE  N√Ç¬∞ 4870,JUAN I. SILVERA MALLMA, ,SAN JUAN DE LURIGANCHO,SA,7,17
TECNILLANTAS ODE - CE,AV PROCERES DE LA IND. 2018,MIGUEL ANGEL OTAROLA DE LA TORRE,998265778,SAN JUAN DE LURIGANCHO,LU,7,17
TELEPOINT BARZAR,JR HOYLE PALACIOS 123,MIRANDA TEVES ERIKA, ,EL AGUSTINO,MI,5,17
TITO FAENS II,AV.WIESSE MZ.B LT 7-LOS PINOS,AYMA PIZARRO DAVID ALBERTO,992426001,SAN JUAN DE LURIGANCHO,MA,7,17
TITO FAENS POLARIZADO (JUNIOR),AV. PROCERES3922 S.J.L. PARADERO 13,JORGE ALBERTO AYMA LEANDRO, ,SAN JUAN DE LURIGANCHO,LU,7,17
TOURS INDIANAPOLIS,AV METROPOLITANA MZ J LT 14B ASOC VIV FO,MALDONADO LOAYZA HENRY JONATHAN, ,ATE,LU,5,17
VALLEJOS MOTORS,AV.CANTO GRANDE 3864 S.J.LPARAD. 11 1/2,PEDRO VALLEJOS CALIXTO,997620615,SAN JUAN DE LURIGANCHO,MA,7,17
VULCANIZADOR PORRAS,URB ALFONZO CAVIAN MZ O LT 8 - CHACLACAY,CARLOS RAUL PEDRAZA,992482058,CHOSICA,LU,5,17
VULCANIZADORA LUBRICANTES SR DE LOS MILAGROS,AV 1√Ç¬∫ DE MAYO 1091 - LOS PERALES -,VICTOR HUAYTALLA RAYNE,940708454,SANTA ANITA,MI,5,17
YALI MOTORS,AV AMPLIACION S/N MZ I LT 20 SECTOR 3,YALI RICALDI EDGAR,999029114,SAN JUAN DE LURIGANCHO,MA,7,17
ZES CAR,MZ A1 LT 1 AAHH CUIDAD MARISCAL,SAUL JESUS ROJAS, ,SAN JUAN DE LURIGANCHO,LU,7,17
ACCESORIOS JEAN PIERRE,AV. TUPAC AMARU N∞ 6923A- A—O NUEVO KM.1,CESAR EDUARDO  CIPRAGUEVARA, ,COMAS,(en blanco),4,15
ALINEAMIENTO UNIVERSAL,AV. GERARDO UNGER 4607 S.M.P,ROSARIO ALVAREZ CORDOVA,989266092,SAN MARTIN DE PORRES,JU,4,15
ALINEAMIENTO Y MICA EL PAISA - CN,AV. TUPAC AMARU N∞ 4952 A—O NUEVO,YOBAR JESUS ANCCO CURI,(en blanco),COMAS,(en blanco),4,15
AMARU 27 RAM MOTORS,AV TUPAC AMARU 2721 PROGRESO CARABAYLLO,IVAN SAAVEDRA YAYA, ,CARABAYLLO,LU,6,15
ANIBAL MASS SAC,AV. PERU 1417-S.M.P,RIVERA TRUJILLO ANIBAL, ,SAN MARTIN DE PORRES,JU,4,15
AUTO BOTIQUE CONTINENTAL,AV. PERU N 4024- S.M.P,EUSEBIO RAMOS SUNOSO, ,SAN MARTIN DE PORRES,(en blanco),4,15
AUTO BOUTIQUE CAR F&C,JR. TUPAC INCA  N∞ 116 REF. COSTADO BCP,FLOR DE MARIA PONTE PRINCIPE, ,INDEPENDENCIA,(en blanco),6,15
AUTO IDEAS TALLER DE CONERSIONES,AV. GERARDO UNGER N∞ 367 URB. INGENIERIA,KENNY MALPARTIDA, ,SAN MARTIN DE PORRES,(en blanco),4,15
AUTO KOR S.A.C,"AV. ANGELICA GAMARRA MZ. C, LT. 9 A.H PA",BALNIRIO ELEADES CUEVA LEGARDA, ,CALLAO,(en blanco),4,15
AUTO REPUESTOS SAN JORGE,AV. PERU N∞ 3897 S.M.P,VICTOR CALDA ASENCIO,980702655,SAN MARTIN DE PORRES,(en blanco),4,15
AUTO SPORT V.T.C E.I.R.L,AV. ANGELICA GAMARRA N∞ 575 URB. EL TREB,VICTORIANOTINE CARRASCO,833*4898,LOS OLIVOS,(en blanco),4,15
AUTOBOUTIQUE LA ZONA,AV. PERU N∞ 4471,MILCKO VASQUEZ OLIVAS,993865310,CALLAO,(en blanco),4,15
AUTOBOUTIQUE MULTIMICAS,MZA. D LOTE. 70 ASOC. LOS GRAMADALES ,PDRO LAS VI—AS-KM 32 PNA 15),93280916,PUENTE PIEDRA,(en blanco),4,15
AUTOGAS EMILIO,FEDERICO BARRETO N∞ 196 URB. SAN AGUSTIN,EMILIO ORTIZ PARIAGUA,992126985,COMAS,(en blanco),4,15
AUTOMOTRIZ JHONY MOTORS E.I.R.L,"AV. LOS OLIVOS MZ.D, LT. 07 S.M.P",JHONNY SANTIAGO VEGA MAURICIO,990661936,SAN MARTIN DE PORRES,(en blanco),4,15
AUTOMOTRIZ PIERO - CN,"Av. Huandoy Mz. 33, Lt. 10 Laura Caller",(en blanco),(en blanco),LOS OLIVOS,(en blanco),4,15
AUTSERVICIOS FLORES,JR. VISCARDO GUSMAN N∞ 118 LOS LIBERTADO,ALCIDES FLORES TACHAGUA,995991452,SAN MARTIN DE PORRES,(en blanco),4,15
AUXILIADORA  AUTOMOTRIZ   YAMILET,"AV. CARLOS IZAGUIRRE MZ.B, LT. 12 APV. K",ANA ANGELIA ABAMTO ARMAS,(en blanco),SAN MARTIN DE PORRES,(en blanco),4,15
BATERIA Y RADIADORES PACHECO,"MZ.D, LT. 4 AA.HH PANCAON LIBERTAD REF. ",DANITZA JUDITH LOBON VILCHEZ,4129833,SAN MARTIN DE PORRES,(en blanco),4,15
BATERIAS CCIARA,AV. TOMAS VALLE 345 URB. EL CONDOR ,CARMEN BLAS ROJAS, ,CALLAO,(en blanco),4,15
BATERIAS FERNANDO PERALES,PUENTE PIEDRA, , ,PUENTE PIEDRA,LU,4,15
BATERIAS QUIROZ CORREA - CN,AV. PTE. PIEDRA 689 ALT. ELECTRA KM. 31,Korina Correa,5484819/988-,PUENTE PIEDRA,(en blanco),4,15
BATERY CENTER,PUENTE PIEDRA, , ,PUENTE PIEDRA,LU,4,15
BAZAR CASA DE CAMBIO ROGER ,AV. ALFREDO MENDIOLA 3489 URB. PAN. NORT,JUAN CASTA—EDA TAPIA, ,LOS OLIVOS,MI,4,15
BAZAR RABITOS,AV. LAS ALMENDRAS 284 S.M.P,MARISA SANDOVAL BARROS, ,SAN MARTIN DE PORRES,LU,4,15
BETTOS CARS - CN,Av. Prolongacion Peru 5003 Mz G- Lote 01, ,(en blanco),CALLAO,(en blanco),4,15
BODEGA ALEXANDER,AV CAMINO REAL M2 N1 LT 30 SANTO DOMINGO,ALEXANDER CARRASCA QUINTO, ,CARABAYLLO,LU,6,15
BODEGA APLE Y NARANGE,JR MOLVOS 4172 LOS OLIVOS URB MICAELA BA,JESSICA ALEXANDRA ZEVALLOS, ,COMAS,LU,4,15
BODEGA AQUARIUS,AV. EL RETABLO 1177 4TA ETAPA URB. EL RE,PEDRO HUACHIN SOTO,994417376,COMAS,LU,4,15
BODEGA JUANCHO,"AV. CANTA CALLAO MZ. A5, LT. 17 LOS OLIV",SEGUNDO JUAN BELLO MEJIA,992640321,LOS OLIVOS,(en blanco),4,15
BODEGA SABRINA,CALLE 12 DE DICIEMBRE 270 URB. VILLA HIP,LADY LAURA CORONADO YOVERA, ,COMAS,LU,4,15
BODEGA TREINTA DE AGOSTO,AV. TUPAC AMARU 4742 INDEP. CRECE CON SO,CVICKY RUIZ HUACHO, ,INDEPENDENCIA,JU,6,15
BOTICA & MAS SALUD,"AV. LOS INCAS MZ.D, LT. M18-A SAN JUAN B",MARILU YARANGA PASCUAL, ,COMAS,LU,4,15
BOTICA JAVIER - CN,CALLE. STA. LUCIA 165 OVALO PTE. PIEDRA FRENTE BCO. NAC.,(en blanco),989-649812,PUENTE PIEDRA,(en blanco),4,15
BOTICA MARILYN - CN,Av. Tupac Amaru N∞ 3110 km. 20,(en blanco),(en blanco),CARABAYLLO,(en blanco),6,15
BOTICA YR,URB VICTOR RAUL AYA DE LA TORRE ,EULOGIA SONEROS BERROCA—, ,COMAS,LU,4,15
BREVETES LIMA CALLAO,AV. LAS VIOLETAS 590 REF. AV. TUPAC AMAR,LUIS ALBERTO QUINTANA CRESPO, ,INDEPENDENCIA,MA,6,15
BREVETES PROFESIONALES,"MZ. B, LT. 01 ASOC. VIRGEN DEL CARMEN S.",KATHERINE QUINTANA CRESPO, ,SAN MARTIN DE PORRES,LU,4,15
C.J AUTOMOTRIZ -S.M.P - CN,AV. GERARDO UNGER N 1105,MERCEDES RODRIGUEZ  DURAN,(en blanco),SAN MARTIN DE PORRES,(en blanco),4,15
CAMBIO DE DOLAR CALEB,CARABAYLLO,LUZ MARINA ZEVALLOS CHIPANA, ,CARABAYLLO,LU,6,15
CAR MOTOR¥S - CN,CARABAYLLO,RICARDO CARRILLO,(en blanco),CARABAYLLO,(en blanco),6,15
CASA DE CAMBIO DARIO,JR NICARAGUA 134 URB HUAQUILLAY COMAS,JOSE LUIS MORON NU—EZ, ,COMAS,LU,4,15
CASA DE CAMBIO FY E,AV. ANGELICA GAMARRA 660 URB. LOS NOGALE,SADITH ROCIO COLLANTES MENDOZA,985825068,LOS OLIVOS,LU,4,15
CASA DE CAMBIO KAREN,"AV. CHIMPU OCLLO N∞ 170 MZ.L1, LT. 31",PELAYO LAZO VIVANCO,992994140,COMAS,(en blanco),4,15
CASA DE CAMBIO M Y J,AV. TUPAC AMARU 4103 355 A URB. CARABAYL,LILIAN MARIELA MONTALBAN MENDOZA,992618308,COMAS,MI,4,15
CASA DE CAMBIO OKANE,V. REVOLUCION NRO. 1341 P.J. COLLIQUE 2D,NESTOR WILFREDO CAMONES SALVADOR, ,COMAS,MA,4,15
CASA DE CAMBIO ROGER - CN,Av. Prolongacion Per N∞ 4939,MARGEN IZQUIERDO DEL RIO DERECHO,(en blanco),CALLAO,(en blanco),4,15
CASA DE CAMBIO SARITA COLONIA,AV. LOS PROCERES N∞ 5008 LOS OLIVOS,RICHARD PALOMINO MERADO, ,LOS OLIVOS,(en blanco),4,15
CASA DE CAMBIO SHEYLA,AV. EL NARANJAL N∞ 1522 URB. PARQUE DE N,MARIBEL PALOMINO MERCADO,979701942,LOS OLIVOS,(en blanco),4,15
CASA DE CAMBIO SOL DE CARABAYLLO - CN,AV. TUPAC AMARU N∞ 3350 KM. 20, ,(en blanco),CARABAYLLO,(en blanco),6,15
CASA DE CAMBIO TAPIA - CN,AV. CENTRAL N∫ 821 URB. SAN ROQUE,WILSON TAPIA PAREDES,(en blanco),LOS OLIVOS,(en blanco),4,15
CENTRO DE AROS Y LLANTAS JIREH,"AV. PERU MZ.D2, LT. 19 CDRA. 44 AA.HH BO",JUAN CARLOS CALVAN CHUQUIPO, ,CALLAO,LU,4,15
CERRAJERIA EL SULLANERO,AV. TOMAS VALLE 2271 ,JOSE LUIS GALECIO NUNURA, ,SAN MARTIN DE PORRES,(en blanco),4,15
COMERCIAL ANCASH,AV UNIVERSITARIA 15 8614 SAN AGUSTIN ,FLORENCIO VERDE TORRES, ,COMAS,LU,4,15
COMERCIAL KEVI,AV. PERU N∞ 1673  URB. PERU,JULIO NARRO ALCANTARA, ,SAN MARTIN DE PORRES,(en blanco),4,15
COMERCIAL LUNA,AV EDUARDO HABISH 282 S.M.P,LUNA PALOMINO MARISOL , ,SAN MARTIN DE PORRES,LU,4,15
CONVERSION TLLER LIDER MOTOR S.A.C - CN,CALLE LOS QUERAS 7482 A REF. MUNICIPALID,JANET OLIVEROS ALVARADO,(en blanco),INDEPENDENCIA,(en blanco),6,15
COREA IMPORT - CN,AV. TUPAC AMARU 003 SANTALIGIA-COMAS,LUZ RAFAEL CORDOVA,(en blanco),COMAS,(en blanco),4,15
CREACIONES METALICAS ORTIZ S.R.L - CN,COSTADO TIENDA EFE COMAS,FREDDY ORTIZ PANIAGUA,(en blanco),COMAS,(en blanco),4,15
CREDILLANTAS COMAS - CN,Av. Tupac Amaru N∞ 4292, ,(en blanco),COMAS,(en blanco),4,15
DAVAL MOTOR¥S,"AV. TUPAC AMARU MZ.A, LT. 21 055",INGRID CABRERA TREJO,993657356,COMAS,(en blanco),4,15
DELGADO SEGURIDAD EXTINTORES - CN,AV. GERARDO UNGER N∞ 1633 URB. FIORI REF,EDILBERTO DELGADO POMA,(en blanco),SAN MARTIN DE PORRES,(en blanco),4,15
DEM MARPER II - CN,Av. Angelica Gamarra N∞ 779,(en blanco),(en blanco),INDEPENDENCIA,(en blanco),6,15
DR. GAS S.A.C,AV. TOMAS VALLE N∞  2013 S.M.P,JOSE JESUS CHEVEZ AYALA,981379109,SAN MARTIN DE PORRES,(en blanco),4,15
EDMALU S.A.C,AV. ANGELICA GAMARRA 565 COOP. GUADALUPE,RAMIRO REATEGUI GARCIA,992418694,LOS OLIVOS,MI,4,15
ELECTRO CHAVEZ - CN,Av. Tupac Amaru N∞,(en blanco),991786588,COMAS,(en blanco),4,15
ELECTRO DIESEL VEGA - CN,"AV. CARLOS IZAGUIRRE MZ.1, LT. 28 S.M.P",WALTER ALCIDES VEGA,989751855,SAN MARTIN DE PORRES,(en blanco),4,15
ELECTRO ENSENDIDO  RICKY,AV. PERU 1401 S.M.P,RICARDO RODRIGUEZ MOGROVEJO, ,SAN MARTIN DE PORRES,(en blanco),4,15
ELECTRO LUCAS,"AV. TUPAC AMARU N∞ 3491 KM. K, LT. 11-A",LUCAS ESPINAL GARCIA,(en blanco),CARABAYLLO,(en blanco),6,15
ELECTRO MYKI - CN,Av. Angelica Gamarra N∞ 1504,(en blanco),(en blanco),SAN MARTIN DE PORRES,(en blanco),4,15
ELECTROMOTRIZ CHURCHI,AV. TUPAC AMARU 102 COMAS,SUSI SANCHEZ CARBONEL,986042159,COMAS,(en blanco),4,15
ELITE AUTOMOTIVE SERVICES SAC,"AV. ANGELICA GAMARRA MZ.G, LT. 3 LOS OLI",VARGAS ZAPATA JOSEFINA, ,LOS OLIVOS,JU,4,15
EMPRESA EL GRAN CRISTO MORENO,AV. ENRIQUE 103 AA.HH SE—OR DE LOS MILAG,ATAHUA JOTA WILLIAN,983427374,CALLAO,LU,4,15
ESCUEL INTEGRAL DAMCOHUA S.AC,"AV. LOS ALIZOS MZ. W, LT. 9 CDRA. 10 ",BLADIMIR HINOSTROZA CAMAYO,975436023,LOS OLIVOS,(en blanco),4,15
ESCUELA DE CHOFERES JORGE CHAVEZ-CALLAO,AV. TOMAS VALLE N 3523 CALLAO,MARTHA IRENE MARCHAN CALLE, ,CALLAO,(en blanco),4,15
FERRETERIA ATOMOTRIZ MOYA,AV. LOS ALIZOS N∞ 241 URB. EL NARANJAL S,NORMAN ROSSEL TENIENTE MALPARTIDA,991111389,SAN MARTIN DE PORRES,(en blanco),4,15
FERRETERIA BRIGGI,SAN MARTIN DE PORRES,CLARA MORAIMA , ,SAN MARTIN DE PORRES,MA,4,15
FERRETERIA ESTRELLA,AV UNIVERSITARIA 6267 SANTA LUZMILA COMA,ESTHER MARILUZ DONATO PINEDO, ,COMAS,LU,4,15
FERRETERIA SHARON,MICAELA BASTIDAS 601 URB SAN AGUSTIN ,JOHN CESAR, ,COMAS,LU,4,15
FERRETERIA Y MATIZADOS JAZMIN - CN,"MZ.42 , LT. 1 CHILLON LOS OLIVOS",DINO9 JAMANCA CASTROMONTE,(en blanco),LOS OLIVOS,(en blanco),4,15
FEVICE TRADING  S.A.C - CN,Av. Gerrado Unger N∞ 4391,(en blanco),(en blanco),INDEPENDENCIA,(en blanco),6,15
FOTO ESTUDIO DELGADILLO - CN,AV. PERU 1564,(en blanco),(en blanco),SAN MARTIN DE PORRES,(en blanco),4,15
FRENOS CENTRO WUILLY,"MZ.A, LT. 33 AA.HH BOCANEGRA SECT. FRATE",MAGNO VIEJO CUTIPA VICTOR MANUEL, ,CALLAO,(en blanco),4,15
FRENOS NAVARRO,AV. UNIVERSITARIA N™ 8915 FRENTE A PARQU,DARWIN HECTOR NAVARRO CERNA, ,COMAS,LU,4,15
G.H.L REPUESTOS,AV. PERU 4913 ,LEE GYO HWAN, ,CALLAO,JU,4,15
GRAN PRIX - CN,AV. TOMAS VALLE N™ 1690,LISBETH PILLACA SANCHEZ,(en blanco),LOS OLIVOS,(en blanco),4,15
GRUPO DINTERCOM S.A.C,AV. ANGELICA GAMARRA  N∞ 1451 URB. SANTA,EDITH  ARENAS JARA , ,LOS OLIVOS,(en blanco),4,15
H.R MOTORS -  CN,AV. TOMAS VALLE N∞ 1357,LUIS ALBERTO HUAMANI ROQUE,(en blanco),SAN MARTIN DE PORRES,(en blanco),4,15
H.R.M BATERIAS,AV. TUPAC AMARU N∞ 4522 A—O NUEVO -COMAS,AMET RIOBER  RIOS MILLA, ,COMAS,(en blanco),4,15
IMPORTACIONES A LA BARRERA SAC,AV. UNIVERSITARIA 15 9604 URB. LA ALB,PERCY ALBARRERA MUJICA, ,COMAS,(en blanco),4,15
IMPORTACIONES ANDRES,AV. LOS ALISOS N∞ 179 URB. NARANJAL ,ANDRES 17BAN YAURIVILCA MANRIQUE,991245123,INDEPENDENCIA,(en blanco),6,15
IMPORTACIONES HILDEMARO - CN,AV. EDUARDO DE HABICH 204 S.M.P,HUAMAN QUIJANO ILDEBRANDO ANCELMO , ,SAN MARTIN DE PORRES, ,4,15
IMPORTACIONES JOSE DANIEL,JR. MARACUYA 4317 S.M.P,DANIEL CARCIA QUISPE, ,SAN MARTIN DE PORRES,LU,4,15
IMPORTACIONES JOSE DAVID,"AV. LOS ALISOS N∞ 148 URB, NARANJAL S.M.",JOSE LUIS QUISPE CCOYLLO,989705523,SAN MARTIN DE PORRES,LU,4,15
INSTITUTO PERUANO DE EDUCACION VEHICULAR,AV. PERU 4626 CALLAO,YANINA SUSAN OBREGON ROJAS,959749718,CALLAO,JU,4,15
INTERNET,JR PUNO S/N,LUIS INOCENTE CHAHUAYLACC, ,SAN MARTIN DE PORRES,LU,4,15
INTERNET JOH@NET LIDER,AV. LAS ALMENDRAS N∞ 237 URB. NARANJAL  ,YOVANA TERESA DIAZ GARAY, ,SAN MARTIN DE PORRES,(en blanco),4,15
INTERNET LOCUTORIO ALLISSON,AV. PERU 3718 S.M.P,MARTIN ORBE SAAVEDRA, ,SAN MARTIN DE PORRES,LU,4,15
INTERNET LOCUTORIO FRANET,AV UNIVERSITARIA NRO 6101 URB SANTA LUZM,FRANCISCO ALVA MALQUI, ,COMAS,MA,4,15
INTERNET LOCUTORIO LUCERO,AV. PERU 3697 URB. PERU S.M.P,MARLENY QUICHIZ ZAPATA, ,SAN MARTIN DE PORRES,LU,4,15
INTERNET NELY,CARLOS IZAQUIGRRE 498 CUADRA 4 DE IZAGUI,NELY BURGOS OLIVA, ,INDEPENDENCIA,LU,6,15
INTERNET POWER LINE - CN,Av. San Felipe Jr. Cajamarca 300 ALT. CUADRA SEIS SAN FELIPE,(en blanco),(en blanco),COMAS,(en blanco),4,15
INVERSIONES YARI,AV. UNIVERSITARIA 6909 COMAS ASOC. STA. ,VICTOR SANTIAGO OSORIO BLAS, ,COMAS,LU,4,15
J&J COLOR E.I.R.,AV. TUPAC AMARU 063 ALT. METRO KM. 1/2 C,MAXIMO AQUINO MELGAREJO, ,COMAS,(en blanco),4,15
J.R AUTOMOTRIZ - CN,Av. Universitaria N∞ 9460,(en blanco),996507178,COMAS,(en blanco),4,15
J.V. TIRE - CN,"AV. CANTA CALLAO MZ.A, LT. 21 ENTRE DOMI",JOSE GARCIA BERROSPI,(en blanco),SAN MARTIN DE PORRES,(en blanco),4,15
JAPAL AUTOMOTRIZ - CN,PROLONGACI“N AV. PERU 4923 -CALLAO,JOSE M. CHANG INAMI,(en blanco),CALLAO,(en blanco),4,15
JEG COMUNICACIONES,AV. CARLOS IZAGUIRRE 433 LOS OLIVOS,EFFIO GUERRERO JUAN ANTONIO, ,LOS OLIVOS,MI,4,15
JP TIRE S.A.C,"AV. NARANJAL MZ. D, LT. 7 CDRA 13 ",JULIO CRISOLOGO PAREDES LUCERO, ,LOS OLIVOS,(en blanco),4,15
JUGUERIA MILENA,AV MAESTRO PERUANO 345 COMAS,TERESA FLORINDE CAYCO, ,COMAS,LU,4,15
KOREA MOTORS 1 - CN,AV PERU N4537 BOCA NEGRA,ILMER GRANDES ARISTA,(en blanco),CALLAO,(en blanco),4,15
KOREA 15 - CN,Av. Universitaria N∞ 572 - Mz A Lote 16,(en blanco),(en blanco),COMAS,(en blanco),4,15
LA CASA DEL CELULAR,AV. TUPAC AMARU 1093 KM. 11 COMAS,ALEJANDRO SOLORZANO JIMENEZ, ,COMAS,JU,4,15
LANDERIA AV. PERU,JR. LAMBAYEQUE 4099 S.M.P,ABELARDO VASQUEZ AGUIRRE, ,SAN MARTIN DE PORRES,MA,4,15
LAVADO LA WASH,AV RETABLO 721 COMAS,ROSA MERCEDES PEREZ HOLGUIN , ,COMAS,LU,4,15
LAVANDERIA LAVA CLIN - CN,Av. Chimpuocllo N∞ 509, , ,CARABAYLLO,(en blanco),6,15
LBRERIA LUCERITO,JR 21 DE SETIEMBRE 8990 KM 11 COMAS,ALLISON HELEN COSTA RIQUELME, ,COMAS,LU,4,15
LBRERIA TRIUNFO OSCAR ,LAS GLADIOLAS 350 INDEPENDENCIA ERMITA—O,SILVA BALCAZAR OSCAR RAMIRO, ,INDEPENDENCIA,LU,6,15
LIBRERIA BAZAR VALENTINA,JR LOS CASTA—OS S/N COOP CAJA BAMBA UNIV,YESSENIA MUCHA GASPAR, ,LOS OLIVOS,LU,4,15
LIBRERÕA BAZAR VALERIA,AV. MEXICO 396 URB. LA HACIENDA CRUCE CO,DELIA MARIA QUISPE MARTINEZ, ,COMAS,LU,4,15
LIBRERÕA CRISTIANA Y BATERIAS,AV. REVOLUCION 1250 2DA ZONA COLLIQUE ,HERMOGENES MELQUIADES GARCIA, ,COMAS,(en blanco),4,15
LIBRERÕA DONITA,AV. ALFREDOMENDIOLA N∞ 3687,MARIA ELENA ALCALDE MARTINEZ, ,LOS OLIVOS,(en blanco),4,15
LLANTA CENTRO SANTANDER E.I.R.L,AV. UNIVERSITARIA 5372 URB. EULOGIAO,LUZ ELIZABETH SANCHEZ PUMA,986451010,COMAS,(en blanco),4,15
LLANTAS YAUHE YIRE S.A.C,AV. UNIVERSITARIA 7135 RETABLO -COMAS,MARIA ELENA PEREZ FIERRO, ,COMAS,(en blanco),4,15
LLANTERIA EL FLAQUITO MARAVILLOSO,"AV. MARA—ON MZ.6, LT. 1 LOS OLIVOS",RODOLFO CURO ALVA, ,LOS OLIVOS,(en blanco),4,15
LOCUTORIO CLARO - COMAS - CN,AV. EL MAESTRO PERUANO 401 ALT. COLEGIO, , ,COMAS,(en blanco),4,15
LOCUTORIO COPIAS,JR JOSE MARIA PAGADOR 202 VOMAS,DARYL JARAMILLO ESPINOZA, ,COMAS,MA,4,15
LOCUTORIO INTERNET LA ECONOMICA,CALLE INCA YUPAMQUI N∞ 113 URB. SAN AGUS,OLGA MIRIAN ROMERO GALLEGOS, ,COMAS,(en blanco),4,15
LOCUTORIO TELEFONICO-S.M.P - CN,AV. NARANJAL N∞ 1635 URB. MONTE AZUL S.M,RITHA  DIAZ FLORES,(en blanco),SAN MARTIN DE PORRES,(en blanco),4,15
LUBRICANTE ACUARIO,"AV. TOMAS VALLE MZ.G, LT. 24 URB. JORGE ",MADELEINE CASTILLO PISANTE, ,CALLAO,(en blanco),4,15
LUBRICANTE ANTONY LUCERITO - CN,"AV. HUANDOY MZ.205, LT. 25 ALT. SEMAFORO",LUIS ANGELES RAMIREZ,988407276,LOS OLIVOS,(en blanco),4,15
LUBRICANTE AYLIN - CN,AV. CHIMPUOCCLLO 224,ALFREDO CANARIO PISCO,989352526,CARABAYLLO,(en blanco),6,15
LUBRICANTE CAR EDU MAFER,"AV. PACASMAYO MZ.X, LT. 3 URB. EL ALAMO ",JESSICA ISABEL CELMI CUYA, ,CALLAO,(en blanco),4,15
LUBRICANTE EL SOL,AV. TUPAC AMARU 560-COMAS,NELSINA MARIBEL PIZARRO 17BAN, ,COMAS,(en blanco),4,15
LUBRICANTE ELMO,AV. TUPAC AMARU 1976 FRENTE AL PARQUE MA,FRANCISCO BARAZORDA TAIPE, ,CARABAYLLO,LU,6,15
LUBRICANTE LOS HERMANOS CRISPIN,"AV. UNIVERSITARIA MZ.C, LT. 06 URB. SAN ",WALTER MANUEL CRISPIN LEON, ,COMAS,LU,4,15
LUBRICANTE LUCHITO - CN,"AV. NARANJAL MZ.B, LT. 2 CUADRO 12 1/2 C",MAURICIO CASTRO CAMPOS,(en blanco),LOS OLIVOS,(en blanco),4,15
LUBRICANTE SARITA,AV. TUPAC AMARU N∞ 169,EUGENIA LEON CCARI,985197534,COMAS,(en blanco),4,15
LUBRICANTE SERECAPH - CN,AV. UNIVERSITARIA N∫ 4286 ALT. LOS ALISO,ANA MEDINA DIAZ,(en blanco),SAN MARTIN DE PORRES,(en blanco),4,15
LUBRICANTE SMITH - CN,"AV. LOMAS DE CARABAYLLO MZ.C, LT. 12",JHONATAN DE LA CRUZ ANGLAS,(en blanco),CARABAYLLO,(en blanco),6,15
LUBRICANTE VICTORIA,AV. LOS ALISOS CON UNIVERSITARIA AA.HH J,MAYRA PEREZ PAJARES, ,LOS OLIVOS,LU,4,15
LUBRICANTE VIRGEN DE COCHARCAS,"AV. JAPON MZ.A1, LT. 2 LOS ALAMOS",WALTER PARIORA LANDRO,992497606,CALLAO,(en blanco),4,15
LUBRICANTES ARACELY,AV. TUPAC AMARU 396 URB. ,SULMA MINIANO DULCE,990146276,CARABAYLLO,(en blanco),6,15
LUBRICANTES BRAVO - CN,Av. Universitaria N∞ 7007,(en blanco),(en blanco),COMAS,(en blanco),4,15
LUBRICANTES CARLITOS,"AV. UNIVERSITARIA MZD, LT. 3",YURY VICENTE CAHUAJANO, ,COMAS,(en blanco),4,15
LUBRICANTES CHAVEZ - CN,Av. Francisco Bolognesi N∞ 1042, ,(en blanco),COMAS,(en blanco),4,15
LUBRICANTES EL CHILENO - CN,Av. Tupac Amaru N∞ 460 16 1/2,(en blanco),(en blanco),CARABAYLLO,(en blanco),6,15
LUBRICANTES EL INTERNACIONAL - CN,Av. Angelica Gamarra N∞ 565,(en blanco),(en blanco),LOS OLIVOS,(en blanco),4,15
LUBRICANTES EL SOL II -CALLAO - CN,AV. Prolongacion PERU N∞ 4990 - CALLAO,NELLY MINAYA GUERRERA,(en blanco),CALLAO,(en blanco),4,15
LUBRICANTES EL SOL S.M.P - CN,"JR. LOS ALISOS MZ. K, LT. 17 ALT. TOMAS",MARUJA HUERTA CASTILLO,(en blanco),SAN MARTIN DE PORRES,(en blanco),4,15
LUBRICANTES EL VELOZ - CN,"AV. CANTA CALLAO MZ.A, LT. 8 ANTES DE TOTUS ( PACASMAYO)",(en blanco),7229824/990-,SAN MARTIN DE PORRES,(en blanco),4,15
LUBRICANTES ELENA - CN,AV. PERU 1419 ALT. DUE—AS,(en blanco),(en blanco),SAN MARTIN DE PORRES,(en blanco),4,15
LUBRICANTES ESPINOZA - CN,AV. PERU N∞ 4850 ,(en blanco),(en blanco),CALLAO,(en blanco),4,15
LUBRICANTES GARCIA - CN,MZ. T-04 LTE. 1   AV. PAMAPA ALTA   ( REF. ULTIMO PARADERO DE NVA. AMERICA ),(en blanco),(en blanco),SAN JUAN DE LURIGANCHO,(en blanco),6,15
LUBRICANTES GUERRERITO,AV UNIVERSITARIA 8743 COOP PRIMAVERA COM,KATTY KARIEN WALLER TORRES , ,COMAS,LU,4,15
